year,pedestrian,cyclist,source
2008,30,11,Polizeipräsidium Verkehrsunfallstatistik
2009,19,9,Polizeipräsidium Verkehrsunfallstatistik
2010,24,6,Polizeipräsidium Verkehrsunfallstatistik
2011,29,11,Polizeipräsidium Verkehrsunfallstatistik
2012,17,15,Polizeipräsidium Verkehrsunfallstatistik
2013,14,9,Polizeipräsidium Verkehrsunfallstatistik
2014,21,10,Polizeipräsidium Verkehrsunfallstatistik
2015,19,10,Polizeipräsidium Verkehrsunfallstatistik
2016,21,17,Polizeipräsidium Verkehrsunfallstatistik
2017,13,9,Polizeipräsidium Verkehrsunfallstatistik
2018,8,10,ADFC
